id,song,artist,album,popularity,duration,img_url,genres
4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),Adele,25,2,223080,https://i.scdn.co/image/ab67616d0000b2734c3bbcff5e7248e415548f12,"['british soul', 'pop', 'pop soul', 'uk pop']"
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,Kid Krow,87,198040,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,"['bedroom pop', 'electropop', 'indie pop', 'pop']"
0k6LV1ohcK2hlNPwu1nVw9,Cold Heart - Acoustic,Elton John,Cold Heart (Acoustic),66,195373,https://i.scdn.co/image/ab67616d0000b273b4d0d46e3a2e317576648b12,"['glam rock', 'mellow gold', 'piano rock']"
5JCoSi02qi3jJeHdZXMmR8,favorite crime,Olivia Rodrigo,SOUR,87,152666,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,['pop']
3WbHsfnKTIpte7B14whqjF,the boy,lullaboy,the boy,54,216530,https://i.scdn.co/image/ab67616d0000b273e608ce5ce2ed29712f431143,['chill r&b']
2X3rwsb6rl9keHNNiEVTVf,bon iver - acoustic,mxmtoon,dusk (the edits),39,201733,https://i.scdn.co/image/ab67616d0000b273189ea64f9d71d8933719a035,"['alt z', 'bedroom pop', 'indie pop', 'pop', 'social media pop']"
64o1r6z5k2HmTglC2D4IKm,Mariposa - Acoustic,Peach Tree Rascals,Mariposa (Acoustic),60,216612,https://i.scdn.co/image/ab67616d0000b273c8935a25750b1ba21f49e720,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']"
0742PcMPo2Akmo4vHC29VZ,this is how you fall in love,Jeremy Zucker,this is how you fall in love,12,174586,https://i.scdn.co/image/ab67616d0000b273dccb079c492cf99e02e3255b,"['electropop', 'pop']"
0YBNpbrmpZdFRT0NFqii5C,Fly Me to the Moon,The Macarons Project,Fly Me to the Moon,24,155402,https://i.scdn.co/image/ab67616d0000b27389c2066e06f2f4b738149b53,['indonesian lo-fi pop']
1lhm29o3syw122xynSKaAK,Love Me Like That,Sam Kim,"Nevertheless, (Original Television Soundtrack, Pt. 6)",81,211363,https://i.scdn.co/image/ab67616d0000b273c382d7b9b74ce02cab98bcb4,"['chill r&b', 'k-pop', 'korean pop', 'korean r&b']"
5WkCcSa78lM1Ym4LXzJUiN,La La Lost You - Acoustic Version,NIKI,NIKI Acoustic Sessions: Head In The Clouds II,71,208510,https://i.scdn.co/image/ab67616d0000b27347669a9be7d201ea97bbd3ee,"['chill r&b', 'indonesian r&b', 'pop']"
5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,July,2,156106,https://i.scdn.co/image/ab67616d0000b2731c897ee628349a905b217068,"['alt z', 'dance pop', 'pop', 'post-teen pop']"
1d9Ve8caYURgqYEVuEHMww,Cry Over Boys,Alexander 23,"Oh No, Not Again! - EP",65,170812,https://i.scdn.co/image/ab67616d0000b273b5b0a50f80e21a5593c5aa4d,"['alt z', 'pop']"
5AXyf6LS4D7QYp3JAJKW7F,Somewhere Only We Know,Reneé Dominique,Somewhere Only We Know,56,229669,https://i.scdn.co/image/ab67616d0000b273827c31e9a694647e0c803107,['pinoy indie']
4oyX53bkiEB9seveixcTX8,Say So - Acoustic,Le Vitates,Say So (Acoustic),48,230929,https://i.scdn.co/image/ab67616d0000b27392fa346963df1ccae157150b,"['acoustic chill', 'viral pop']"
6nhc3daOpKaZBRj2ZFWfc7,My Universe - Acoustic Version,Coldplay,My Universe,72,223268,https://i.scdn.co/image/ab67616d0000b273fb7fdc6524b1224cc04985f5,"['permanent wave', 'pop']"
37MNmtxcQicC9a0vtL1fEg,Kiss Me - Live Acoustic,The Macarons Project,Kiss Me (Live Acoustic),10,206000,https://i.scdn.co/image/ab67616d0000b273a5c34664329215cfe8edcea0,['indonesian lo-fi pop']
6BeODAFUXgrscucnq8xDAs,someone like u,lullaboy,someone like u,68,232000,https://i.scdn.co/image/ab67616d0000b27313137ef00d668a76563ffdb6,['chill r&b']
5fnFcby5yxUodS7loPSufH,wish you were gay - acoustic,The Mayries,wish you were gay (acoustic),42,219931,https://i.scdn.co/image/ab67616d0000b27355d55df04d0e02112226e49c,"['acoustic cover', 'acoustic pop', 'neo mellow', 'viral pop']"
3MthJpM1IEYp2ulZe00LvP,Shouldn't Matter but It Does,John Mayer,Sob Rock,68,236733,https://i.scdn.co/image/ab67616d0000b273779063301154e835a91a35e0,"['neo mellow', 'pop rock', 'singer-songwriter']"
4FpKnsvxF9rC7ObQeUWTsw,Telepatía (Acústico),Angélika,Telepatía (Acústico),45,193149,https://i.scdn.co/image/ab67616d0000b27336f95b1b256cd2537076f840,[]
7MwnbWnZCBg1iK7uAreNhm,Fallin’ (Adrenaline) - Acoustic,Why Don't We,Fallin’ (Adrenaline) [Acoustic],0,215724,https://i.scdn.co/image/ab67616d0000b273dd8beb8ba9f419092ff5a682,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']"
4DDD2P6dJurAgk3IYWqK3p,How Deep Is Your Love,the bird and the bee,Please Clap Your Hands,55,204653,https://i.scdn.co/image/ab67616d0000b273215a094a14d27b12a3b78ddd,"['indie pop', 'la indie']"
0iZgToTIPAHO7uM0LVb3yr,HEARTBREAK ANNIVERSARY,Joseph Vincent,HEARTBREAK ANNIVERSARY,56,161574,https://i.scdn.co/image/ab67616d0000b27350158c4920ac8053d628a29d,"['pop', 'viral pop']"
4GTdwP4Sxioube7ySds1fp,I'm With You - Acoustic Version,The Macarons Project,I'm With You (Acoustic Version),10,216500,https://i.scdn.co/image/ab67616d0000b273c17ef6eeff3659be9791ea3e,['indonesian lo-fi pop']
4ensio3acJ17PegjBcmXVg,17 - Acoustic,Pink Sweat$,17 (Acoustic),57,169276,https://i.scdn.co/image/ab67616d0000b273cedcdd698df015d64127d6b3,"['bedroom soul', 'chill r&b', 'pop']"
2EDYchd8hhwAOWKGQxJoro,Chasing Cars,Sleeping At Last,Chasing Cars,56,240426,https://i.scdn.co/image/ab67616d0000b273fddfa3c4fb3530903a69c8ff,"['ambient worship', 'chamber pop', 'pop', 'pop rock']"
1YnLthg0HOs8YTzgN5hVh2,God Only Knows,Kina Grannis,God Only Knows,58,136542,https://i.scdn.co/image/ab67616d0000b2732ae5d91095669b5012d14965,"['acoustic pop', 'neo mellow', 'pop rock', 'viral pop']"
6KzL8s8GdRbd5Mal8yLz6R,Better Together,Us The Duo,Better Together,0,200706,https://i.scdn.co/image/ab67616d0000b27350d33dbc95fb2c8a81201733,"['folk-pop', 'indiecoustica', 'neo mellow', 'pop rock', 'viral pop']"
2TitxRtrE8OLcAwcNucvmJ,Peaches - Acoustic,Adam Christopher,Peaches (Acoustic),8,190909,https://i.scdn.co/image/ab67616d0000b273ae8a3fceef4b7f5eec726692,"['acoustic cover', 'viral pop']"
6obiiUPIIoZ5sePPv566lj,Put Your Records On - Acoustic,Tiffany Alvord,Put Your Records On (Acoustic),54,193947,https://i.scdn.co/image/ab67616d0000b27306e76fcb40cd92e81eef366e,"['channel pop', 'viral pop']"
5mFrdpvoxokKCWp9uHE1ok,No Air,Lúc,No Air,53,199114,https://i.scdn.co/image/ab67616d0000b27341cf80dda5e4fd51e931ca33,['acoustic chill']
3m958z5jHmEFKEVkboQ7JM,Don't Start Now - Acoustic,Highland Peak,Don't Start Now (Acoustic),42,200024,https://i.scdn.co/image/ab67616d0000b273e4d1ad00ed33a240b1f1e557,['acoustic chill']
1Lom3Qqs0HUPxqnmRVumKQ,Somewhere Over The Rainbow,Leanne & Naara,Somewhere Over The Rainbow,57,153502,https://i.scdn.co/image/ab67616d0000b273ae6e514bc4550c0055b30e83,"['opm', 'pinoy indie']"
5bTxvPSxViGxFfcawiCH0U,Here's Your Perfect - Acoustic,Jamie Miller,Here's Your Perfect (Acoustic),64,164669,https://i.scdn.co/image/ab67616d0000b2736579672ab91817fb63143ef5,['pop soul']
29CjkGjZnDVdJsfbRoNOGJ,Scared to Be Lonely - Acoustic Version,Martin Garrix,Scared to Be Lonely (Acoustic Version),62,257357,https://i.scdn.co/image/ab67616d0000b273944c32b68012ae1a4c5d89ed,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']"
55qNvU28lXUg71TKMqiXmM,"Send My Love / Sit Still, Look Pretty (Acoustic Mashup)",Landon Austin,"Send My Love / Sit Still, Look Pretty (Acoustic Mashup)",59,202142,https://i.scdn.co/image/ab67616d0000b273eaef0c79cf0469304b4ef646,"['channel pop', 'indiecoustica', 'neo mellow', 'viral pop']"
7F1CiKqrY44kh5cDqwHOnx,Love Is Gone - Acoustic,Dylan Matthew,Love Is Gone (Acoustic),80,176971,https://i.scdn.co/image/ab67616d0000b2733892a2a2c261629f34bb5536,['social media pop']
4fKiuIavbsoTRZ6R7xuAyT,Lonely (with benny blanco) - Acoustic,Justin Bieber,Lonely (with benny blanco) [Main + Acoustic],56,155188,https://i.scdn.co/image/ab67616d0000b2731b2bb35006cc39e7215b6b24,"['canadian pop', 'pop']"
6DPoEX6N7vzf9v2lIbxLt3,Marry Me,IamNeeta,Marry Me,54,207259,https://i.scdn.co/image/ab67616d0000b273c88e5142d4367e6dc8d70660,['malaysian pop']
5KI4W93UARGnqsupVWv4tL,Stay with Me,Roy Kim,Roy Kim Live in Begin Again 2,2,175148,https://i.scdn.co/image/ab67616d0000b273d94bff5b7818fa6327a8d94f,"['k-pop', 'korean pop']"
42eB4oaJ9vwsnxz1RFQUa0,Wonder - Acoustic,Shawn Mendes,Wonder,53,173652,https://i.scdn.co/image/ab67616d0000b273f32083c7dce70afe965e9800,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
04dqYNkXUPAVc9ZfHYicW6,Irreplaceable,Zak Manley,Irreplaceable,52,189634,https://i.scdn.co/image/ab67616d0000b2737977dab9d9b933a49ad5f814,['acoustic chill']
3YkhNMK7YcdkUSKM5nM3ur,The Nights,Chlara,The Nights,62,222000,https://i.scdn.co/image/ab67616d0000b27311294ddabe85c8df49ebe990,"['opm', 'viral pop']"
7kVssG465tU7XWgfrseOVS,death bed (coffee for your head) - Acoustic Mix,We Rabbitz,death bed (coffee for your head) [Acoustic Mix],45,148355,https://i.scdn.co/image/ab67616d0000b2731cc85206d7c200619b604034,[]
0U8jEPi2k3UZqHK0jvzEe0,Let Me Down Slowly,Powell Sullivan,Let Me Down Slowly,45,160962,https://i.scdn.co/image/ab67616d0000b2733a4480189bae9ac1e2c87565,['acoustic chill']
7iSool3PmS50F5St2bhmTU,Someone You Loved - Acoustic,Kurt Hugo Schneider,Someone You Loved (Acoustic),56,162272,https://i.scdn.co/image/ab67616d0000b273598dc892ce2c1284697dae25,"['pop', 'post-teen pop', 'viral pop']"
7d3s1XpWyIHZq20ie2ghSp,Saturday Nights,Amanda Yang,Saturday Nights,50,178852,https://i.scdn.co/image/ab67616d0000b273e8b4bcd16b810d73d166598e,['viral pop']
62rdJywT2r3EAi1KHtw1DA,Intentions,Halloran & Kate,Intentions,44,172272,https://i.scdn.co/image/ab67616d0000b273a4eaa18e8e396901f3456864,"['channel pop', 'viral pop']"
7uuEfUMuPeQ7RlSWa0cES2,Can’t Help Falling in Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),0,201933,https://i.scdn.co/image/ab67616d0000b2732164996fa51e13991d9d6775,"['acoustic pop', 'neo mellow', 'pop rock', 'viral pop']"
36cpdosXo6ckJaVusYVPle,Steal My Girl - Acoustic Version,One Direction,Steal My Girl (Acoustic Version),0,227120,https://i.scdn.co/image/ab67616d0000b273f6b44a561d3d9e904a8a14ec,"['boy band', 'pop', 'post-teen pop', 'talent show']"
2HttK3TYhnumj8xWjKCYem,Best Part,Jayesslee,Best Part,56,280987,https://i.scdn.co/image/ab67616d0000b2736a40469e27a7b943803060af,['viral pop']
6IH2Z54gYPLqgJtxZjX80i,Back To December - Acoustic,Taylor Swift,Speak Now (Deluxe Edition),54,292560,https://i.scdn.co/image/ab67616d0000b2732e4ec3175d848eca7b76b07f,['pop']
5V1LGy5Cej68piazdCtmjZ,Yellow,Brittin Lane,Yellow,44,206452,https://i.scdn.co/image/ab67616d0000b2732c77959196df86643876aeb8,['pop folk']
3uRyuXf29unDXTFNNXHrYl,drivers license - Acoustic,Sam Tsui,drivers license (Acoustic),50,235068,https://i.scdn.co/image/ab67616d0000b273098faccc7eb43d237f1e815c,"['post-teen pop', 'viral pop']"
2wcseriGAqeodDazDXgmaq,You (with Marshmello & Vance Joy) - Acoustic,benny blanco,You (with Marshmello & Vance Joy) [Main + Acoustic],54,151673,https://i.scdn.co/image/ab67616d0000b2733a3504f973700d033fb1f3ec,"['electropop', 'pop', 'pop rap']"
58DResRLMBKvXLdEmGFUqr,Break My Heart,Sara Farell,Break My Heart,46,176334,https://i.scdn.co/image/ab67616d0000b2738469219a51c9cfa55e842c18,"['acoustic cover', 'neo mellow', 'viral pop']"
2vcDl2SLudnltyDEos3v6E,Beautiful Scars (Maximillian x Moira Dela Torre) - Acoustic,Maximillian,Beautiful Scars (Maximillian x Moira Dela Torre) [Acoustic],65,157779,https://i.scdn.co/image/ab67616d0000b273be335daf24f2b539593bbca4,['gen z singer-songwriter']
7j2PE3jjtanGrsiOxR2HmK,Stuck with U - Acoustic,Jonah Baker,Stuck with U (Acoustic),1,188181,https://i.scdn.co/image/ab67616d0000b273ec5c91a1d46321547604bcf1,"['acoustic cover', 'viral pop']"
4gmzxGRPIHwUVj0m0kZZwK,Because Of You,Gardiner Sisters,Because Of You,9,192000,https://i.scdn.co/image/ab67616d0000b2731a1a0df202bacb8f38c08f57,"['channel pop', 'lds youth', 'neo mellow', 'viral pop']"
5EqlEvrylr3DNy3R11Kmrz,Youngblood - Acoustic,5 Seconds of Summer,Youngblood (Acoustic),57,220995,https://i.scdn.co/image/ab67616d0000b27386bd7bae90b0eb643e1bfe8c,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
7ssUVjT0Q6DgP20o9CESvU,Location,Joseph Vincent,Location,11,122062,https://i.scdn.co/image/ab67616d0000b27356939cae60299d41f052b126,"['pop', 'viral pop']"
6YOOCjjIb0pBZXbJjYgUlP,Dancing With A Stranger,Sara Farell,Dancing With A Stranger,50,188735,https://i.scdn.co/image/ab67616d0000b2734a12b2d522697b9b3a8fbaa3,"['acoustic cover', 'neo mellow', 'viral pop']"
4sAX65hbNtEC1lceCdGuMt,Stargazing,Isabella Celander,Stargazing,55,186334,https://i.scdn.co/image/ab67616d0000b2736ffb391ebade2e17aec5348d,['acoustic cover']
5oV8bZaShr2d01FFMHBUPq,Iris,Kina Grannis,Iris,64,181136,https://i.scdn.co/image/ab67616d0000b2732699637932602df406dacadc,"['acoustic pop', 'neo mellow', 'pop rock', 'viral pop']"
2AGen6RvvTNEhdNoyJEMvu,Watermelon Sugar - Acoustic,Jonah Baker,Watermelon Sugar (Acoustic),2,183093,https://i.scdn.co/image/ab67616d0000b273880111b6c191e3dde6d053f6,"['acoustic cover', 'viral pop']"
3ISLwA96mtx13Wx7K1PPPk,Love Story,Tyler Ward,Love Story,58,232500,https://i.scdn.co/image/ab67616d0000b273320d04c187454ecde00ceb18,"['acoustic cover', 'channel pop', 'neo mellow', 'pop rock', 'viral pop']"
13IMd84eJeHLdnLbzmIP2Q,Chasing Stars (feat. James Bay) [Stripped],Alesso,Chasing Stars (Stripped),60,164927,https://i.scdn.co/image/ab67616d0000b273933b3a7b2756018ce010a367,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']"
4SjPJxsczdVx2Wafi5mT0J,Rewrite the Stars,Joseph Vincent,Rewrite the Stars,17,200259,https://i.scdn.co/image/ab67616d0000b273c7a29f4b1815e2f895a6ef0b,"['pop', 'viral pop']"
6TTHXR7QYOUNS2gyy2OVvg,Mood - Acoustic,Adam Christopher,Mood (Acoustic),5,161000,https://i.scdn.co/image/ab67616d0000b273d48ca3decc894b25948d171c,"['acoustic cover', 'viral pop']"
2ZgUlizmH0VmOJzUwDchAf,How Do You Sleep? - Acoustic,Sam Smith,How Do You Sleep? (Acoustic),58,205590,https://i.scdn.co/image/ab67616d0000b273f53f3d46e3a6b2f1b17bed62,"['dance pop', 'pop', 'uk pop']"
5H6Bc7oEWYuKrwb1pUZWhh,Closer,Ysabelle Cuevas,Closer,52,178666,https://i.scdn.co/image/ab67616d0000b273d8786338d3b73b117be0d112,"['acoustic opm', 'opm']"
7vg5fesQdq5I7Z7XGdyJd5,Bad Liar,Roses & Frey,Bad Liar,53,226877,https://i.scdn.co/image/ab67616d0000b2734735650335cbe895d7d7a08b,"['acoustic cover', 'viral pop']"
7rLokcIMP9p8fl0iROdVfC,ocean eyes - Recorded Live at Jungle City Studios,Alicia Keys,Spotify Singles,63,184548,https://i.scdn.co/image/ab67616d0000b2737792e47f4d41bf748001509f,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
5mVDhLnXTHlBWJnMHXa9Qs,Halo,Lotte Kestner,The Bluebird of Happiness,58,269920,https://i.scdn.co/image/ab67616d0000b273e75f5314a2747868b72ff213,['indie psych-pop']
1rv56nMI7nSrcyqpQqgSQb,Counting Stars,Amanda Yang,Counting Stars,47,218904,https://i.scdn.co/image/ab67616d0000b27394a8b5733af29fc0a64644af,['viral pop']
4r4aTOJc7K3iUIU3MEPw6I,Be Alright,Lola Rhodes,Be Alright,58,180466,https://i.scdn.co/image/ab67616d0000b273ba67728d24be1e42e26c5209,['viral pop']
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,Bad Liar,62,248448,https://i.scdn.co/image/ab67616d0000b2734c71534611add2fdd4ddb861,['acoustic chill']
7wIYDzWW82O6Rc4vGuzjND,"I'm Not the Only One - Live from Spotify, London",Dua Lipa,Spotify Session,66,195840,https://i.scdn.co/image/ab67616d0000b27387adc6b4dafc57c8524d519a,"['dance pop', 'pop', 'uk pop']"
45SbQo5bq8f0hNdB70IyFC,Save Your Tears,Boyce Avenue,Save Your Tears,57,216800,https://i.scdn.co/image/ab67616d0000b2731d4094d44254748df6e7f8a5,"['acoustic cover', 'neo mellow', 'pop', 'viral pop']"
7cG68oOj0pZYoSVuP1Jzot,Latch - Acoustic,Sam Smith,In The Lonely Hour (Deluxe),0,223429,https://i.scdn.co/image/ab67616d0000b2737f7892ac82a75e73920b4827,"['dance pop', 'pop', 'uk pop']"
2GzvzxXnyJ9l3obE4JskC2,I Like Me Better,Ysabelle Cuevas,Ysabelle,54,189673,https://i.scdn.co/image/ab67616d0000b27394b8feee25f100cfe8bc2d97,"['acoustic opm', 'opm']"
09IZGpkbdHfJS4g33j6ALr,Sweet but Psycho - Acoustic,Parker Jenkins,Sweet but Psycho,45,188712,https://i.scdn.co/image/ab67616d0000b273d5dee04ef2fa40208b2c5f36,['acoustic chill']
6k3wI7hjfJgerqdp7pxnAb,How to Save a Life,Shelby Park,How to Save a Life,48,265593,https://i.scdn.co/image/ab67616d0000b27384c4b8e1226f3243faa199dc,"['acoustic chill', 'viral pop']"
1KalIfAR9lEpLWZZFdEfW4,Versace On The Floor,Joseph Vincent,Versace On The Floor,0,138201,https://i.scdn.co/image/ab67616d0000b273830dbbe83c869d2f969ff328,"['pop', 'viral pop']"
0v1yN5C75um5Wx2WPtFl6k,Sunflower,Sara Farell,Sunflower,54,181897,https://i.scdn.co/image/ab67616d0000b2737a87cb6dd27af044a1b31ced,"['acoustic cover', 'neo mellow', 'viral pop']"
3HOcPWc2LUUv5te756KfAH,Without Me,Brandon Chase,Without Me,50,202219,https://i.scdn.co/image/ab67616d0000b273d5ceb4eff1a58d864627dfdc,['acoustic chill']
3PeoDI6IOsJ4cQBNTZEvfx,i'm so tired...,Bailey Jehl,i'm so tired...,39,190336,https://i.scdn.co/image/ab67616d0000b273bedf0fa7494c6d105b03030b,"['acoustic chill', 'viral pop']"
2JcfyEmEWwdlgLKq44ALCU,Everybody Wants to Rule the World,Chlara,#acousticNOW5,50,218840,https://i.scdn.co/image/391b09569daceb7c979cd5c705ac68b7ae615535,"['opm', 'viral pop']"
7xyNrmHN6EdUzMsR9ppThs,White Flag,Kina Grannis,White Flag,47,189333,https://i.scdn.co/image/ab67616d0000b273a192d51d71d1bb9077a182f1,"['acoustic pop', 'neo mellow', 'pop rock', 'viral pop']"
4UcgeBIpIrPE0pyPULsnLL,三葉のテーマ,RADWIMPS,君の名は。,0,242786,https://i.scdn.co/image/ab67616d0000b273e0a0afae2b41c2f02bba8ee8,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']"
2XDLLEFWTuCRBZy21fRpcm,Yumetourou,RADWIMPS,Your Name.,0,129186,https://i.scdn.co/image/ab67616d0000b273222e0f6b49d70a71f9020292,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']"
